BOROUGH,ZIP,HOUSE_NUM,STREET_NAME,REPORTING_YEAR,TANK_NUM,INSPECTION_PERFORMED,INSPECTION_DATE,GI_RESULT_INTERNAL_STRUCTURE,GI_RESULT_EXTERNAL_STRUCTURE,SI_RESULT_SEDIMENT,SI_RESULT_BIOLOGICAL_GROWTH,SI_RESULT_DEBRIS_INSECTS,SI_RESULT_RODENT_BIRD,ANALYTES,COLIFORM,ECOLI,MEET_STANDARDS,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,NTA
BRONX,10462,1551,Unionport Road,2020,1,Y,10/19/20,A,N,N,N,N,N,B,A,A,,9,18,212,Parkchester
MANHATTAN,10038,111,John St,2022,3,Y,4/4/22,A,N,N,N,N,N,B,A,A,,1,1,1502,Battery Park City-Lower Manhattan
MANHATTAN,10013,100,Centre street,2024,2,Y,11/27/24,N,A,N,N,N,N,B,A,A,,1,1,29,Chinatown
MANHATTAN,10013,125,worth street,2022,2,Y,5/23/22,A,N,A,A,A,N,B,A,A,,1,1,31,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,10007,1,Centre street,2024,1,Y,11/20/24,A,N,N,N,N,N,B,A,A,,1,1,29,Chinatown
BROOKLYN,11201,360,adams street,2021,1,Y,12/12/21,N,A,A,N,N,N,,,,,2,33,11,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MANHATTAN,10007,225,Broadway,2021,2,Y,10/11/21,A,N,N,N,N,N,B,A,A,,1,1,21,SoHo-TriBeCa-Civic Center-Little Italy
BRONX,10462,1469,East Avenue,2020,1,Y,10/21/20,A,N,N,N,N,N,B,A,A,,9,18,212,Parkchester
MANHATTAN,10029,230,East 115th Street,2020,1,Y,9/30/20,A,N,N,N,A,N,B,A,A,,11,8,180,East Harlem North
MANHATTAN,10013,100,Centre street,2021,1,Y,12/5/21,N,A,A,N,A,N,,,,,1,1,29,Chinatown
MANHATTAN,10128,47,East 88th Street,2021,1,Y,4/20/21,N,N,A,A,N,N,B,A,A,,8,4,15002,Upper East Side-Carnegie Hill
QUEENS,11377,40-35,72 Street,2021,1,Y,9/22/21,A,N,N,N,N,N,B,A,A,,4,25,265,Elmhurst-Maspeth
BRONX,10451,265,east 161 street,2021,1,Y,12/3/21,A,A,A,N,A,N,,,,,4,16,18302,East Concourse-Concourse Village
BROOKLYN,11201,345,Adams street,2022,1,Y,6/23/22,A,N,N,N,N,N,B,A,A,,2,33,11,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MANHATTAN,10013,125,worth street,2021,2,Y,12/10/21,N,N,A,A,N,N,,,,,1,1,31,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,10007,31,Chambers street,2020,1,Y,11/21/20,A,A,A,A,A,N,B,A,A,,1,1,31,SoHo-TriBeCa-Civic Center-Little Italy
BROOKLYN,11201,345,Adams street,2022,2,Y,6/23/22,A,N,N,N,N,N,B,A,A,,2,33,11,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
BRONX,10462,44,Metropolitan Oval,2020,1,Y,10/19/20,A,N,N,N,N,N,B,A,A,,9,18,212,Parkchester
BROOKLYN,11201,138,Willoughby Street,2024,1,Y,6/24/24,N,N,A,N,N,N,B,P,A,,2,33,15,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MANHATTAN,10013,80,Centre Street,2022,1,Y,6/1/22,A,A,N,N,N,N,B,A,A,,1,1,29,Chinatown
BROOKLYN,11201,360,Adams street,2024,2,Y,10/26/24,N,A,N,N,N,N,B,A,A,,2,33,11,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
BRONX,10456,1118,Grand Concourse,2020,1,Y,11/21/20,N,A,A,N,A,A,B,A,A,,4,16,18102,East Concourse-Concourse Village
MANHATTAN,10013,100,Centre street,2021,1,Y,12/5/21,N,A,A,N,A,N,B,A,A,,1,1,29,Chinatown
MANHATTAN,10029,70,East 108th Street,2020,2,Y,10/7/20,N,N,N,N,N,A,B,A,A,,11,8,17401,East Harlem South
MANHATTAN,10038,111,John St,2021,3,Y,11/10/21,A,N,N,N,N,N,B,A,A,,1,1,1502,Battery Park City-Lower Manhattan
BRONX,10451,265,east 161 street,2022,1,Y,12/15/22,A,A,A,N,N,N,B,A,A,,4,16,18302,East Concourse-Concourse Village
MANHATTAN,10028,1056,Fifth Avenue,2020,1,Y,6/24/20,N,N,A,N,A,N,B,A,A,,8,4,15002,Upper East Side-Carnegie Hill
